No.,Time,Source,Destination,Protocol,Length,time 2,Time 1,delay 1,delay 2,Jitler
1,0,192.168.100.221,74.125.200.136,UDP,900,0.013126,0,0.013126,-0.013126,-0.026252
2,0.013126,192.168.100.221,74.125.200.136,UDP,674,0.033451,0.013126,0.020325,-0.007199,-0.027524
3,0.033451,192.168.100.221,192.168.100.1,DNS,80,0.043497,0.033451,0.010046,0.023405,0.013359
4,0.043497,74.125.200.136,192.168.100.221,UDP,117,0.043498,0.043497,1E-06,0.043496,0.043495
5,0.043498,74.125.200.136,192.168.100.221,UDP,68,0.053396,0.043498,0.009898,0.0336,0.023702
6,0.053396,192.168.100.1,192.168.100.221,DNS,96,0.054996,0.053396,0.0016,0.051796,0.050196
7,0.054996,74.125.200.136,192.168.100.221,UDP,92,0.054996,0.054996,0,0.054996,0.054996
8,0.054996,74.125.200.136,192.168.100.221,UDP,68,0.061299,0.054996,0.006303,0.048693,0.04239
9,0.061299,192.168.100.221,74.125.200.136,UDP,1392,0.062218,0.061299,0.000919,0.06038,0.059461
10,0.062218,192.168.100.221,192.168.100.1,DNS,77,0.065139,0.062218,0.002921,0.059297,0.056376
11,0.065139,192.168.100.221,74.125.200.136,UDP,1392,0.065395,0.065139,0.000256,0.064883,0.064627
12,0.065395,192.168.100.221,74.125.200.136,UDP,1392,0.065561,0.065395,0.000166,0.065229,0.065063
13,0.065561,192.168.100.221,74.125.200.136,UDP,1392,0.06576,0.065561,0.000199,0.065362,0.065163
14,0.06576,192.168.100.221,74.125.200.136,UDP,1392,0.06591,0.06576,0.00015,0.06561,0.06546
15,0.06591,192.168.100.221,74.125.200.136,UDP,1392,0.066054,0.06591,0.000144,0.065766,0.065622
16,0.066054,192.168.100.221,74.125.200.136,UDP,1392,0.066206,0.066054,0.000152,0.065902,0.06575
17,0.066206,192.168.100.221,74.125.200.136,UDP,1392,0.066346,0.066206,0.00014,0.066066,0.065926
18,0.066346,192.168.100.221,74.125.200.136,UDP,1392,0.066481,0.066346,0.000135,0.066211,0.066076
19,0.066481,192.168.100.221,74.125.200.136,UDP,386,0.068386,0.066481,0.001905,0.064576,0.062671
20,0.068386,192.168.100.221,74.125.200.95,UDP,1392,0.081871,0.068386,0.013485,0.054901,0.041416
21,0.081871,192.168.100.1,192.168.100.221,DNS,129,0.084021,0.081871,0.00215,0.079721,0.077571
22,0.084021,192.168.100.221,74.125.200.94,TCP,66,0.100362,0.084021,0.016341,0.06768,0.051339
23,0.100362,74.125.200.136,192.168.100.221,UDP,68,0.107653,0.100362,0.007291,0.093071,0.08578
24,0.107653,192.168.100.221,74.125.200.136,UDP,458,0.107986,0.107653,0.000333,0.10732,0.106987
25,0.107986,74.125.200.136,192.168.100.221,UDP,68,0.11537,0.107986,0.007384,0.100602,0.093218
26,0.11537,74.125.200.94,192.168.100.221,TCP,66,0.115538,0.11537,0.000168,0.115202,0.115034
27,0.115538,192.168.100.221,74.125.200.94,TCP,54,0.116539,0.115538,0.001001,0.114537,0.113536
28,0.116539,192.168.100.221,74.125.200.94,TLSv1.3,637,0.123915,0.116539,0.007376,0.109163,0.101787
29,0.123915,74.125.200.95,192.168.100.221,UDP,1392,0.123917,0.123915,2E-06,0.123913,0.123911
30,0.123917,74.125.200.95,192.168.100.221,UDP,1392,0.124543,0.123917,0.000626,0.123291,0.122665
31,0.124543,74.125.200.136,192.168.100.221,UDP,68,0.124544,0.124543,1E-06,0.124542,0.124541
32,0.124544,74.125.200.136,192.168.100.221,UDP,439,0.124545,0.124544,1E-06,0.124543,0.124542
33,0.124545,74.125.200.136,192.168.100.221,UDP,257,0.126531,0.124545,0.001986,0.122559,0.120573
34,0.126531,192.168.100.221,74.125.200.95,UDP,83,0.128716,0.126531,0.002185,0.124346,0.122161
35,0.128716,192.168.100.221,74.125.200.95,UDP,1392,0.142479,0.128716,0.013763,0.114953,0.10119
36,0.142479,192.168.100.221,74.125.200.136,UDP,75,0.14782,0.142479,0.005341,0.137138,0.131797
37,0.14782,74.125.200.94,192.168.100.221,TCP,54,0.148666,0.14782,0.000846,0.146974,0.146128
38,0.148666,74.125.200.94,192.168.100.221,TLSv1.3,266,0.15172,0.148666,0.003054,0.145612,0.142558
39,0.15172,74.125.200.136,192.168.100.221,UDP,68,0.151736,0.15172,1.6E-05,0.151704,0.151688
40,0.151736,192.168.100.221,74.125.200.94,TLSv1.3,118,0.166932,0.151736,0.015196,0.13654,0.121344
41,0.166932,74.125.200.95,192.168.100.221,UDP,1392,0.167814,0.166932,0.000882,0.16605,0.165168
42,0.167814,192.168.100.221,74.125.200.95,UDP,75,0.183018,0.167814,0.015204,0.15261,0.137406
43,0.183018,74.125.200.94,192.168.100.221,TLSv1.3,634,0.224097,0.183018,0.041079,0.141939,0.10086
44,0.224097,192.168.100.221,74.125.200.94,TCP,54,0.224099,0.224097,2E-06,0.224095,0.224093
45,0.224099,74.125.200.136,192.168.100.221,UDP,1439,0.224101,0.224099,2E-06,0.224097,0.224095
46,0.224101,74.125.200.136,192.168.100.221,UDP,1439,0.224104,0.224101,3E-06,0.224098,0.224095
47,0.224104,74.125.200.136,192.168.100.221,UDP,1439,0.224105,0.224104,1E-06,0.224103,0.224102
48,0.224105,74.125.200.136,192.168.100.221,UDP,1439,0.224106,0.224105,1E-06,0.224104,0.224103
49,0.224106,74.125.200.136,192.168.100.221,UDP,1439,0.224107,0.224106,1E-06,0.224105,0.224104
50,0.224107,74.125.200.136,192.168.100.221,UDP,1439,0.224108,0.224107,1E-06,0.224106,0.224105
51,0.224108,74.125.200.136,192.168.100.221,UDP,1439,0.229766,0.224108,0.005658,0.21845,0.212792
52,0.229766,74.125.200.136,192.168.100.221,UDP,1439,0.229767,0.229766,1E-06,0.229765,0.229764
53,0.229767,74.125.200.136,192.168.100.221,UDP,1439,0.229768,0.229767,1E-06,0.229766,0.229765
54,0.229768,74.125.200.136,192.168.100.221,UDP,411,0.229768,0.229768,0,0.229768,0.229768
55,0.229768,74.125.200.136,192.168.100.221,UDP,1439,0.22977,0.229768,2E-06,0.229766,0.229764
56,0.22977,74.125.200.136,192.168.100.221,UDP,1439,0.22977,0.22977,0,0.22977,0.22977
57,0.22977,74.125.200.136,192.168.100.221,UDP,1439,0.229771,0.22977,1E-06,0.229769,0.229768
58,0.229771,74.125.200.136,192.168.100.221,UDP,1439,0.230998,0.229771,0.001227,0.228544,0.227317
59,0.230998,74.125.200.136,192.168.100.221,UDP,1439,0.231,0.230998,2E-06,0.230996,0.230994
60,0.231,74.125.200.136,192.168.100.221,UDP,484,0.231,0.231,0,0.231,0.231
61,0.231,74.125.200.136,192.168.100.221,UDP,321,0.234744,0.231,0.003744,0.227256,0.223512
62,0.234744,192.168.100.221,74.125.200.136,UDP,75,0.248846,0.234744,0.014102,0.220642,0.20654
63,0.248846,192.168.100.221,74.125.200.136,UDP,75,0.254544,0.248846,0.005698,0.243148,0.23745
64,0.254544,69.171.250.60,192.168.100.221,TLSv1.2,726,0.278581,0.254544,0.024037,0.230507,0.20647
65,0.278581,192.168.100.221,192.168.100.1,DNS,89,0.297501,0.278581,0.01892,0.259661,0.240741
